frag;area;parc;areaparc;peso
1;44;1;250;96
1;44;2;250;100
1;44;3;250;113
1;44;4;250;112
1;44;5;250;88
1;44;6;250;139
1;44;7;250;140
1;44;8;250;143
1;44;9;250;131
2;49,5;1;250;98
2;49,5;2;250;142
2;49,5;3;250;143
2;49,5;4;250;84
2;49,5;5;250;89
2;49,5;6;250;90
2;49,5;7;250;89
2;49,5;8;250;94
2;49,5;9;250;125
2;49,5;10;250;116
3;40,5;1;250;135
3;40,5;2;250;88
3;40,5;3;250;87
3;40,5;4;250;108
3;40,5;5;250;145
3;40,5;6;250;129
3;40,5;7;250;84
3;40,5;8;250;96
4;44,5;1;250;142
4;44,5;2;250;130
4;44,5;3;250;106
4;44,5;4;250;96
4;44,5;5;250;91
4;44,5;6;250;88
4;44,5;7;250;99
4;44,5;8;250;140
4;44,5;9;250;98
5;46,5;1;250;118
5;46,5;2;250;95
5;46,5;3;250;109
5;46,5;4;250;147
5;46,5;5;250;91
5;46,5;6;250;125
5;46,5;7;250;115
5;46,5;8;250;132
5;46,5;9;250;148
6;51,5;1;250;80
6;51,5;2;250;73
6;51,5;3;250;96
6;51,5;4;250;116
6;51,5;5;250;125
6;51,5;6;250;68
6;51,5;7;250;130
6;51,5;8;250;76
6;51,5;9;250;84
6;51,5;10;250;105
7;42;1;250;76
7;42;2;250;62
7;42;3;250;105
7;42;4;250;125
7;42;5;250;99
7;42;6;250;64
7;42;7;250;135
7;42;8;250;78
8;44,5;1;250;110
8;44,5;2;250;125
8;44,5;3;250;77
8;44,5;4;250;62
8;44,5;5;250;70
8;44,5;6;250;98
8;44,5;7;250;65
8;44,5;8;250;97
8;44,5;9;250;106
